Catálogo snapshot incluido en ideam-dhime — fecha de referencia: 2026-04-21 (ISO).
Ver también CATALOG_GENERATED_AT en ideam_dhime/catalog.py.

========================================================
 CATÁLOGO DE VARIABLES IDEAM PARA DESCARGA
========================================================

ID = 1; Descarga la variable 'Brillo solar' y su parámetro 'Brillo solar de 500 a 1800'
ID = 2; Descarga la variable 'Brillo solar' y su parámetro 'Brillo solar total diario'
ID = 3; Descarga la variable 'Brillo solar' y su parámetro 'Brillo solar total mensual'
ID = 4; Descarga la variable 'Brillo solar' y su parámetro 'Brillo solar total anual'
ID = 5; Descarga la variable 'Caudal' y su parámetro 'Caudal máximo diario'
ID = 6; Descarga la variable 'Caudal' y su parámetro 'Caudal mínimo diario'
ID = 7; Descarga la variable 'Caudal' y su parámetro 'Caudal medio diario'
ID = 8; Descarga la variable 'Caudal' y su parámetro 'Caudal máximo mensual'
ID = 9; Descarga la variable 'Caudal' y su parámetro 'Caudal medio mensual'
ID = 10; Descarga la variable 'Caudal' y su parámetro 'Caudal mínimo mensual'
ID = 11; Descarga la variable 'Caudal' y su parámetro 'Caudal máximo anual'
ID = 12; Descarga la variable 'Caudal' y su parámetro 'Caudal medio anual'
ID = 13; Descarga la variable 'Caudal' y su parámetro 'Caudal mínimo anual'
ID = 14; Descarga la variable 'Concentración media de sedimentos' y su parámetro 'Concentración media diaria en Kg/m3'
ID = 15; Descarga la variable 'Concentración media de sedimentos' y su parámetro 'Concentración media mínima mensual'
ID = 16; Descarga la variable 'Concentración media de sedimentos' y su parámetro 'Concentración media máxima mensual'
ID = 17; Descarga la variable 'Concentración media de sedimentos' y su parámetro 'Concentración media mensual'
ID = 18; Descarga la variable 'Concentración media de sedimentos' y su parámetro 'Concentración media anual'
ID = 19; Descarga la variable 'Concentración media de sedimentos' y su parámetro 'Concentración media mínima anual'
ID = 20; Descarga la variable 'Concentración media de sedimentos' y su parámetro 'Concentración media máxima anual'
ID = 21; Descarga la variable 'Concentración superficial de sedimentos' y su parámetro 'Concentración superficial promedio diario de sedimentos'
ID = 22; Descarga la variable 'Dirección del viento' y su parámetro 'Dirección del viento de las 24 horas en grados'
ID = 23; Descarga la variable 'Dirección del viento' y su parámetro 'Dirección del viento en grados de la máxima velocidad en el día'
ID = 24; Descarga la variable 'Dirección del viento' y su parámetro 'Dirección vectorial del viento media diaria'
ID = 25; Descarga la variable 'Dirección del viento' y su parámetro 'Dirección vectorial del viento media mensual'
ID = 26; Descarga la variable 'Dirección del viento' y su parámetro 'Dirección vectorial del viento media anual'
ID = 27; Descarga la variable 'Evaporación' y su parámetro 'Evaporación total diaria'
ID = 28; Descarga la variable 'Fenómenos atmosféricos' y su parámetro 'Fenómeno atmosférico de las 700, 1300 y 1800'
ID = 29; Descarga la variable 'Fenómenos atmosféricos' y su parámetro 'Fenómeno atmosférico predominante diario'
ID = 30; Descarga la variable 'Humedad relativa' y su parámetro 'Humedad relativa del aire a 2 metros cada 2 minutos'
ID = 31; Descarga la variable 'Humedad relativa' y su parámetro 'Humedad relativa del aire a 10 cm horaria'
ID = 32; Descarga la variable 'Humedad relativa' y su parámetro 'Humedad relativa del aire a 2 metros horaria'
ID = 33; Descarga la variable 'Humedad relativa' y su parámetro 'Húmeda relativa calculada horaria'
ID = 34; Descarga la variable 'Humedad relativa' y su parámetro 'Humedad relativa del aire a 10 cm media diaria'
ID = 35; Descarga la variable 'Humedad relativa' y su parámetro 'Húmeda relativa calculada mínima diaria'
ID = 36; Descarga la variable 'Humedad relativa' y su parámetro 'Humedad relativa del aire a 2 metros media diaria'
ID = 37; Descarga la variable 'Humedad relativa' y su parámetro 'Humedad relativa del aire a 10 cm mínima diaria'
ID = 38; Descarga la variable 'Humedad relativa' y su parámetro 'Humedad relativa del aire 2 minutal a 2 metros máxima diaria'
ID = 39; Descarga la variable 'Humedad relativa' y su parámetro 'Humedad relativa del aire a 2 metros mínima diaria'
ID = 40; Descarga la variable 'Humedad relativa' y su parámetro 'Humedad relativa del aire 2 minutal a 2 metros (medición cada 2 minutos) mínima diaria'
ID = 41; Descarga la variable 'Humedad relativa' y su parámetro 'Humedad relativa del aire 2 minutal a 2 metros (medición cada 2 minutos) media diaria'
ID = 42; Descarga la variable 'Humedad relativa' y su parámetro 'Húmeda relativa calculada máxima diaria'
ID = 43; Descarga la variable 'Humedad relativa' y su parámetro 'Humedad relativa del aire a 2 metros máxima diaria'
ID = 44; Descarga la variable 'Humedad relativa' y su parámetro 'Humedad relativa del aire a 10 cm máxima diaria'
ID = 45; Descarga la variable 'Humedad relativa' y su parámetro 'Humedad relativa del aire 2 minutal a 2 metros media mensual'
ID = 46; Descarga la variable 'Humedad relativa' y su parámetro 'Húmeda relativa calculada mínima mensual'
ID = 47; Descarga la variable 'Humedad relativa' y su parámetro 'Húmeda relativa calculada máxima mensual'
ID = 48; Descarga la variable 'Humedad relativa' y su parámetro 'Humedad relativa del aire 2 minutal a 2 metros máxima mensual'
ID = 49; Descarga la variable 'Humedad relativa' y su parámetro 'Humedad relativa del aire 2 minutal a 2 metros mínima mensual'
ID = 50; Descarga la variable 'Humedad relativa' y su parámetro 'Humedad relativa del aire a 2 metros máxima mensual'
ID = 51; Descarga la variable 'Humedad relativa' y su parámetro 'Humedad relativa del aire a 2 metros media mensual'
ID = 52; Descarga la variable 'Humedad relativa' y su parámetro 'Humedad relativa del aire a 10 cm mínima mensual'
ID = 53; Descarga la variable 'Humedad relativa' y su parámetro 'Humedad relativa del aire a 10 cm máxima mensual'
ID = 54; Descarga la variable 'Humedad relativa' y su parámetro 'Humedad relativa del aire a 2 metros mínima mensual'
ID = 55; Descarga la variable 'Humedad relativa' y su parámetro 'Humedad relativa del aire a 10 cm media mensual'
ID = 56; Descarga la variable 'Humedad relativa' y su parámetro 'Húmeda relativa  media mensual'
ID = 57; Descarga la variable 'Humedad relativa' y su parámetro 'Húmeda relativa calculada máxima anual'
ID = 58; Descarga la variable 'Humedad relativa' y su parámetro 'Humedad relativa del aire 2 minutal a 2 metros máxima anual'
ID = 59; Descarga la variable 'Humedad relativa' y su parámetro 'Humedad relativa del aire a 10 cm media anual'
ID = 60; Descarga la variable 'Humedad relativa' y su parámetro 'Húmeda relativa calculada mínima anual'
ID = 61; Descarga la variable 'Humedad relativa' y su parámetro 'Humedad relativa del aire a 2 metros media anual'
ID = 62; Descarga la variable 'Humedad relativa' y su parámetro 'Humedad relativa del aire 2 minutal a 2 metros media anual'
ID = 63; Descarga la variable 'Humedad relativa' y su parámetro 'Humedad relativa del aire 2 minutal a 2 metros mínima anual'
ID = 64; Descarga la variable 'Humedad relativa' y su parámetro 'Humedad relativa del aire a 10 cm mínima anual'
ID = 65; Descarga la variable 'Humedad relativa' y su parámetro 'Humedad relativa del aire a 2 metros máxima anual'
ID = 66; Descarga la variable 'Humedad relativa' y su parámetro 'Humedad relativa del aire a 2 metros mínima anual'
ID = 67; Descarga la variable 'Humedad relativa' y su parámetro 'Húmeda relativa calculada media anual'
ID = 68; Descarga la variable 'Humedad relativa' y su parámetro 'Humedad relativa del aire a 10 cm máxima anual'
ID = 69; Descarga la variable 'Nivel' y su parámetro 'Nivel mínimo cada 2 minutos'
ID = 70; Descarga la variable 'Nivel' y su parámetro 'Nivel medio diario'
ID = 71; Descarga la variable 'Nivel' y su parámetro 'Nivel mínimo diario'
ID = 72; Descarga la variable 'Nivel' y su parámetro 'Nivel máximo diario'
ID = 73; Descarga la variable 'Nivel' y su parámetro 'Nivel máximo mensual'
ID = 74; Descarga la variable 'Nivel' y su parámetro 'Nivel medio mensual'
ID = 75; Descarga la variable 'Nivel' y su parámetro 'Nivel mínimo mensual'
ID = 76; Descarga la variable 'Nivel' y su parámetro 'Nivel máximo anual'
ID = 77; Descarga la variable 'Nivel' y su parámetro 'Nivel medio anual'
ID = 78; Descarga la variable 'Nivel' y su parámetro 'Nivel mínimo anual'
ID = 79; Descarga la variable 'Nubosidad' y su parámetro 'Nubosidad de las 700, 1300 y 1800'
ID = 80; Descarga la variable 'Nubosidad' y su parámetro 'Nubosidad 07:00 HLC media mensual'
ID = 81; Descarga la variable 'Nubosidad' y su parámetro 'Nubosidad 07:00 HLC'
ID = 82; Descarga la variable 'Nubosidad' y su parámetro 'Nubosidad 13:00 HLC'
ID = 83; Descarga la variable 'Nubosidad' y su parámetro 'Nubosidad 19:00 HLC'
ID = 84; Descarga la variable 'Precipitación' y su parámetro 'Día pluviométrico (convencional)'
ID = 85; Descarga la variable 'Precipitación' y su parámetro 'Precipitación total mensual'
ID = 86; Descarga la variable 'Precipitación' y su parámetro 'Precipitación total anual'
ID = 87; Descarga la variable 'Radiación ultravioleta' y su parámetro 'Radiación UVA (longitud de onda 340 nm) media horaria'
ID = 88; Descarga la variable 'Radiación ultravioleta' y su parámetro 'Radiación UVA (longitud de onda 340 nm) máxima horaria'
ID = 89; Descarga la variable 'Radiación ultravioleta' y su parámetro 'Radiación UVA (longitud de onda 380 nm) media horaria'
ID = 90; Descarga la variable 'Radiación ultravioleta' y su parámetro 'Radiación UVA (longitud de onda 380 nm) máxima horaria'
ID = 91; Descarga la variable 'Radiación ultravioleta' y su parámetro 'Radiación UVB (longitud de onda 305 nm) media horaria'
ID = 92; Descarga la variable 'Radiación ultravioleta' y su parámetro 'Radiación visible (PAR) máxima horaria'
ID = 93; Descarga la variable 'Radiación ultravioleta' y su parámetro 'Radiación UVB (longitud de onda 320 nm) media horaria'
ID = 94; Descarga la variable 'Radiación ultravioleta' y su parámetro 'Radiación UVB (longitud de onda 320 nm) máxima horaria'
ID = 95; Descarga la variable 'Radiación ultravioleta' y su parámetro 'Radiación visible (PAR) media horaria'
ID = 96; Descarga la variable 'Radiación ultravioleta' y su parámetro 'Radiación UVB (longitud de onda 305 nm) máxima horaria'
ID = 97; Descarga la variable 'Radicación solar' y su parámetro 'Radiación solar global cada dos minutos VALIDADA'
ID = 98; Descarga la variable 'Radicación solar' y su parámetro 'Radiación solar global horaria VALIDADA'
ID = 99; Descarga la variable 'Radicación solar' y su parámetro 'Radiación solar global diaria VALIDADA'
ID = 100; Descarga la variable 'Temperatura' y su parámetro 'Temperatura del aire a 2 metros'
ID = 101; Descarga la variable 'Temperatura' y su parámetro 'Temperatura mínima del aire a 2 metros'
ID = 102; Descarga la variable 'Temperatura' y su parámetro 'Temperatura seca de las 700, 1300 y 1800'
ID = 103; Descarga la variable 'Temperatura' y su parámetro 'Temperatura húmeda de las 700, 1300 y 1800'
ID = 104; Descarga la variable 'Temperatura' y su parámetro 'Temperatura seca media diaria'
ID = 105; Descarga la variable 'Temperatura' y su parámetro 'Temperatura máxima diaria'
ID = 106; Descarga la variable 'Temperatura' y su parámetro 'Temperatura mínima diaria'
ID = 107; Descarga la variable 'Temperatura' y su parámetro 'Temperatura seca mínima diaria'
ID = 108; Descarga la variable 'Temperatura' y su parámetro 'Temperatura seca máxima diaria'
ID = 109; Descarga la variable 'Temperatura' y su parámetro 'Temperatura mínima absoluta mensual'
ID = 110; Descarga la variable 'Temperatura' y su parámetro 'Temperatura seca máxima mensual'
ID = 111; Descarga la variable 'Temperatura' y su parámetro 'Temperatura máxima media mensual'
ID = 112; Descarga la variable 'Temperatura' y su parámetro 'Temperatura del aire media mensual'
ID = 113; Descarga la variable 'Temperatura' y su parámetro 'Temperatura mínima media mensual'
ID = 114; Descarga la variable 'Temperatura' y su parámetro 'Temperatura húmeda media anual'
ID = 115; Descarga la variable 'Temperatura' y su parámetro 'Temperatura máxima media anual'
ID = 116; Descarga la variable 'Temperatura' y su parámetro 'Temperatura mínima máxima anual'
ID = 117; Descarga la variable 'Temperatura' y su parámetro 'Temperatura húmeda máxima anual'
ID = 118; Descarga la variable 'Temperatura' y su parámetro 'Temperatura húmeda mínima anual'
ID = 119; Descarga la variable 'Temperatura' y su parámetro 'Temperatura seca mínima anual'
ID = 120; Descarga la variable 'Temperatura' y su parámetro 'Temperatura mínima media anual'
ID = 121; Descarga la variable 'Temperatura' y su parámetro 'Temperatura seca máxima anual'
ID = 122; Descarga la variable 'Temperatura' y su parámetro 'Temperatura máxima mínima anual'
ID = 123; Descarga la variable 'Temperatura' y su parámetro 'Temperatura mínima absoluta anual'
ID = 124; Descarga la variable 'Temperatura' y su parámetro 'Temperatura máxima absoluta anual'
ID = 125; Descarga la variable 'Temperatura' y su parámetro 'Temperatura del punto de rocío mínima diaria'
ID = 126; Descarga la variable 'Transporte de sedimentos' y su parámetro 'Transporte medio diario se obtiene en Ktn/dia'
ID = 127; Descarga la variable 'Transporte de sedimentos' y su parámetro 'Transporte medio diario a partir de la CM'
ID = 128; Descarga la variable 'Transporte de sedimentos' y su parámetro 'Transporte máximo mensual'
ID = 129; Descarga la variable 'Transporte de sedimentos' y su parámetro 'null'
ID = 130; Descarga la variable 'Transporte de sedimentos' y su parámetro 'Transporte medio total mensual a partir de la CM'
ID = 131; Descarga la variable 'Transporte de sedimentos' y su parámetro 'Transporte medio mensual a partir de la CM'
ID = 132; Descarga la variable 'Transporte de sedimentos' y su parámetro 'Transporte medio máximo mensual a partir de la CM'
ID = 133; Descarga la variable 'Transporte de sedimentos' y su parámetro 'Transporte total mensual'
ID = 134; Descarga la variable 'Transporte de sedimentos' y su parámetro 'null'
ID = 135; Descarga la variable 'Transporte de sedimentos' y su parámetro 'Transporte medio anual a partir de la CM'
ID = 136; Descarga la variable 'Transporte de sedimentos' y su parámetro 'null'
ID = 137; Descarga la variable 'Transporte de sedimentos' y su parámetro 'null'
ID = 138; Descarga la variable 'Transporte de sedimentos' y su parámetro 'Transporte medio máximo anual a partir de la CM'
ID = 139; Descarga la variable 'Transporte de sedimentos' y su parámetro 'Transporte medio total anual a partir de la CM'
